title,price,link_item,index,discount,sales,category
Đầm Nữ CCHAT Trễ Vai Xếp Ly Xòe Rủ Chất Xốp Cao Cấp 53VNX2009XT,449.000₫,https://tiki.vn/dam-nu-cchat-tre-vai-xep-ly-xoe-ru-chat-xop-cao-cap-53vnx2009xt-p262051345.html?spid=262051349,11,,,damnu
"Đầm cho người mập, đầm big size, đầm suông che bụng, đầm dự tiệc cho người béo",660.000,https://tiki.vn/dam-cho-nguoi-map-dam-big-size-dam-suong-che-bung-dam-du-tiec-cho-nguoi-beo-p208411394.html?spid=208411398,12,,Đã bán 1,damnu
,,https://tiki.vn/olv-dam-lusie-ruffle-flower-dress-p260113034.html?spid=260113036,13,,,damnu
OLV - Đầm Maren Dress,552.000₫,https://tiki.vn/olv-dam-maren-dress-p273299389.html?spid=273299391,14,,,damnu
ĐẦM DỰ TIỆC VOAN NHŨ CAO CẤP DVC (ảnh thật),250.000₫,https://tiki.vn/dam-du-tiec-voan-nhu-cao-cap-dvc-anh-that-p152193065.html?spid=152193068,15,,,damnu
Đầm len tay dài đi dạo phố xinh xắn,278.000₫,https://tiki.vn/dam-len-tay-dai-di-dao-pho-xinh-xan-p159438404.html?spid=159438408,16,,Đã bán 2,damnu
Đầm nữ vintage cổ V đắp chéo thân dáng dài cột eo - NA13,170.000,https://tiki.vn/dam-nu-vintage-co-v-dap-cheo-than-dang-dai-cot-eo-na13-p190602982.html?spid=190603020,17,,,damnu
,,https://tiki.vn/dam-tieu-thu-trang-tre-vai-gia-sieu-re-p157501468.html?spid=157501469,18,,,damnu
"váy suông nữ ,đầm suông dáng dài cộc tay thêu chữ LA đan lưng 3 màu",78.000₫,https://tiki.vn/vay-suong-nu-dam-suong-dang-dai-coc-tay-theu-chu-la-dan-lung-3-mau-p113339565.html?spid=113339567,19,,Đã bán 23,damnu
Đầm lửng nữ thời trang HNOSS Sát Nách Nhún Cổ HNDLU090,299.000₫,https://tiki.vn/dam-lung-nu-thoi-trang-hnoss-sat-nach-nhun-co-hndlu090-p220684127.html?spid=220684129,20,,Đã bán 1,damnu
Đầm công sở chấm bi phối ren ngực tinh tế - DCS229,204.000₫,https://tiki.vn/dam-cong-so-cham-bi-phoi-ren-nguc-tinh-te-dcs229-p58627113.html?spid=73615052,21,,Đã bán 5,damnu
Đầm 6 mảnh trung niên (size 47-67kg),129.000₫,https://tiki.vn/dam-6-manh-trung-nien-size-47-67kg-p154202461.html?spid=154202491,22,,Đã bán 10,damnu
Đầm công sở nâu phối họa tiết-D11,179.000₫,https://tiki.vn/dam-cong-so-nau-phoi-hoa-tiet-d11-p175550297.html?spid=175550305,23,,Đã bán 4,damnu
"Đầm Lụa Saphia Cao Cấp, Freesize Dáng Suông From Rộng Tối Giản Thanh Lịch",815.000₫,https://tiki.vn/dam-lua-saphia-cao-cap-freesize-dang-suong-from-rong-toi-gian-thanh-lich-p262746431.html?spid=262746441,24,,,damnu
Eva De Eva Đầm hai dây dáng thắt eo 21SDKE180N,2.399.000,https://tiki.vn/eva-de-eva-dam-hai-day-dang-that-eo-21sdke180n-p100024437.html?spid=100024439,25,,,damnu
,,https://tiki.vn/dam-body-tay-dai-dinh-nut-p36829864.html?spid=74677613,26,,,damnu
ĐẦM SUÔNG CHỮ A ĐEN PHỐI VOAN,249.000₫,https://tiki.vn/dam-suong-chu-a-den-phoi-voan-p203084956.html?spid=203084961,27,,,damnu
"Đầm Suông váy Suông Ba Lỗ, Chất Đũi Cao Cấp, mặc đi tiệc, đi biển, đi chơi, mặc nhà ARCTIC HUNTER AH206",237.000₫,https://tiki.vn/dam-suong-vay-suong-ba-lo-chat-dui-cao-cap-mac-di-tiec-di-bien-di-choi-mac-nha-arctic-hunter-p270065409.html?spid=270065421,28,,Đã bán 1,damnu
Đầm suông nữ đầm trung niên vải lanh lụa mặc mát AH155,175.000₫,https://tiki.vn/dam-suong-nu-dam-trung-nien-vai-lanh-lua-mac-mat-ah155-p89978354.html?spid=89978356,29,,Đã bán 2,damnu
Váy đầm nữ ngắn tay chất vải cotton thoáng mát nhiều màu mã VAV0383,165.000,https://tiki.vn/vay-dam-nu-ngan-tay-chat-vai-cotton-thoang-mat-nhieu-mau-ma-vav0383-p247454376.html?spid=247454394,30,,Đã bán 3,damnu
,,https://tiki.vn/suon-xam-cach-tan-hoa-tiet-la-doc-dao-p106654237.html?spid=106654263,31,,,damnu
Set Maxi đi biển vàng tay phồng áo Droptop (A31),335.000₫,https://tiki.vn/set-maxi-di-bien-vang-tay-phong-ao-droptop-a31-p171185981.html?spid=171185982,32,,Đã bán 1,damnu
Kelly Dress | Đầm thiết kế xoắn ngực tùng xoè xếp ly Story.clothes thời trang nữ,780.000₫,https://tiki.vn/kelly-dress-dam-thiet-ke-xoan-nguc-tung-xoe-xep-ly-story-clothes-thoi-trang-nu-p157580011.html?spid=157580089,33,,,damnu
"Đầm suông cổ cách điệu, tay phồng, xẻ tà quyến rũ kết hợp họa tiết bướm lạ mắt, ĐẦM BƯỚM XẺ TÀ",93.450₫,https://tiki.vn/dam-suong-co-cach-dieu-tay-phong-xe-ta-quyen-ru-ket-hop-hoa-tiet-buom-la-mat-dam-buom-xe-ta-p124265995.html?spid=124266019,34,,,damnu
váy hở lưng có dây thắt,198.000,https://tiki.vn/vay-ho-lung-co-day-that-p192385806.html?spid=192385808,35,,,damnu
,,https://tiki.vn/dam-vay-nu-du-tiec-dam-cuoi-mau-vang-tre-vai-tre-trung-nhe-nhang-p239144575.html?spid=239144579,36,,,damnu
Váy Du Lịch Đỏ Thổ Cẩm Boho Buộc Eo Cộc Tay ( V04 ),463.000₫,https://tiki.vn/vay-du-lich-do-tho-cam-boho-buoc-eo-coc-tay-v04-p98641551.html?spid=98641618,37,,Đã bán 5,damnu
‍️Đầm Cưới Cô Dâu Đính Hoa Trắng Tinh Khôi Cao Cấp‍️,1.495.000₫,https://tiki.vn/dam-cuoi-co-dau-dinh-hoa-trang-tinh-khoi-cao-cap-p272445104.html?spid=272445105,38,,,damnu
"Đầm hai dây xoè, váy body phối thân dáng xoè màu đen sang chảnh dự tiệc hàn quốc (SN017)",149.000₫,https://tiki.vn/dam-hai-day-xoe-vay-body-phoi-than-dang-xoe-mau-den-sang-chanh-du-tiec-han-quoc-sn017-p263961410.html?spid=263961412,39,,,damnu
Đầm nữ midi suông Callia cổ sơ mi tay dài Julea (Nâu),569.000,https://tiki.vn/dam-nu-midi-suong-callia-co-so-mi-tay-dai-julea-nau-p122240994.html?spid=122241001,40,,,damnu
