title,price,link_item,index,discount,sales,category
Sữa Bột Friso mum Gold Hương Cam (400g),287.834₫,https://tiki.vn/sua-bot-friso-mum-gold-huong-cam-400g-p969621.html?spid=38135363,11,-24%,Đã bán 5,dinhduongchobe
"Combo 2 hộp Kanny sữa cao năng lượng 500 Kcalo/100 Gr, nguyên kem, bổ sung dinh dưỡng từ 1 tuổi trở lên (900g)",1.150.000₫,https://tiki.vn/combo-2-hop-kanny-sua-cao-nang-luong-500-kcalo-100-gr-nguyen-kem-bo-sung-dinh-duong-tu-1-tuoi-tro-len-900g-p3678183.html?spid=3678185,12,-53%,Đã bán 49,dinhduongchobe
SB Pha Sẵn A2 MK7HMO ( trên 1 tuổi),438.600₫,https://tiki.vn/sb-pha-san-a2-mk7hmo-p273428052.html?spid=273428054,13,-5%,,dinhduongchobe
Sữa Meiji Ezcube Growing Up Dạng Viên (448g),359.000₫,https://tiki.vn/sua-meiji-ezcube-growing-up-dang-vien-448g-p1055316.html?spid=157062220,14,-22%,Đã bán 37,dinhduongchobe
Dầu tỏi Diệp Chi Gold 30ml,230.000₫,https://tiki.vn/dau-toi-diep-chi-gold-30ml-p20443708.html?spid=20443710,15,-10%,Đã bán 91,dinhduongchobe
"Thùng 10 Gói Trái cây nghiền vị táo, lê, chuối, đào, cam Agusha 90g/gói dành cho bé từ 6 tháng trở lên",279.300₫,https://tiki.vn/thung-10-goi-trai-cay-nghien-vi-tao-le-chuoi-dao-cam-agusha-90g-go-i-danh-cho-be-tu-6-thang-tro-len-p257780774.html?spid=257780775,16,,,dinhduongchobe
"Combo 10 hộp Sữa ngũ cốc tăng đề kháng vị việt quất, mâm xôi và táo Agusha 200ml/hộp",255.780₫,https://tiki.vn/combo-10-hop-sua-ngu-coc-tang-de-khang-vi-viet-quat-mam-xoi-va-tao-agusha-200ml-hop-p235528445.html?spid=235528446,17,,,dinhduongchobe
Combo 6 lọ Dinh dưỡng ăn dặm Trái cây nghiền mận đen hỗ trợ tiêu hóa Semper Prune 80g dành cho bé từ 4 tháng tuổi,319.872₫,https://tiki.vn/combo-6-lo-trai-cay-nghien-man-kho-dong-lo-semper-prune-80g-danh-cho-be-tu-4-thang-tro-len-p269951863.html?spid=269951864,18,,,dinhduongchobe
Combo mix vị 20 hộp Sữa đêm và sữa ngày ăn dặm Agusha 200ml/hộp,361.920₫,https://tiki.vn/combo-mix-vi-20-ho-p-sua-dem-va-sua-ngay-an-dam-agusha-200ml-ho-p-p235569882.html?spid=208121676,19,,,dinhduongchobe
Bánh ăn dặm Agusha vị Lê (30g) dành cho bé từ 12 tháng trở lên,22.320₫,https://tiki.vn/banh-an-dam-agusha-vi-le-30g-danh-cho-be-tu-12-thang-tro-len-p257777420.html?spid=257777421,20,,,dinhduongchobe
"Siro Ăn Ngon, Tăng Sức Đề Kháng Cho Bé BIODÉ Hỗ Trợ Cải Thiện Biếng Ăn, Giúp Trẻ Tăng Cân, Tiêu Hóa Khỏe Hộp 20 Túi x 10ml",150.000₫,https://tiki.vn/siro-an-ngon-tang-suc-de-khang-cho-be-biode-ho-tro-cai-thien-bieng-an-giup-tre-tang-can-tieu-hoa-khoe-hop-20-tui-x-10ml-p23199554.html?spid=23199555,21,,Đã bán 44,dinhduongchobe
"Viên nhai sữa dê cung cấp canxi, thích hợp cho người không dung nạp lactose SpringLeaf Super Goat Milk 200 viên",460.000₫,https://tiki.vn/vien-nhai-sua-de-springleaf-super-goat-milk-200-vien-cung-cap-canxi-thich-hop-cho-nguoi-khong-dung-nap-lactose-p271193011.html?spid=271193012,22,,,dinhduongchobe
Siro Ăn Ngon Hoa Thiên chai 120ml giúp kích thích hệ tiêu hóa bé ăn ngon hơn,80.000₫,https://tiki.vn/siro-an-ngon-hoa-thien-giup-be-ho-tro-kich-thich-tieu-hoa-va-an-ngon-mieng-120ml-p132899333.html?spid=132899335,23,,Đã bán 52,dinhduongchobe
Combo 7 Vị Cháo Tươi Dinh Dưỡng Cây Thị,168.500₫,https://tiki.vn/combo-7-vi-chao-tuoi-dinh-duong-cay-thi-p55576262.html?spid=55576263,24,,Đã bán 118,dinhduongchobe
SỮA BỘT GROWPLUS+ DINH DƯỠNG HIỆU QUẢ GIÚP TRẺ TĂNG CÂN KHỎE MẠNH - LON 1.5KG,389.000₫,https://tiki.vn/sua-bot-growplus-dinh-duong-hieu-qua-giup-tre-tang-can-khoe-manh-lon-1-5kg-p41400962.html?spid=41400965,25,,Đã bán 229,dinhduongchobe
Siro Tăng Đề Kháng ThymoZinC BobBaby Dan Khang Nâng Cao Sức Khỏe Tăng Sức Đề Kháng & Giúp Trẻ Ăn Ngon Miệng - Hộp 20 ống x 10ml,114.000₫,https://tiki.vn/siro-tang-de-khang-thymozinc-bobbaby-dan-khang-nang-cao-suc-khoe-tang-suc-de-khang-giup-tre-an-ngon-mieng-hop-20-ong-x-10ml-p271043032.html?spid=271043033,26,,Đã bán 3,dinhduongchobe
"DHA cho trẻ từ 7 tháng Brauer Baby & Kids Ultra Pure DHA Úc Giúp phát triển não bộ, tăng khả năng tập trung, cải thiện thị lực - QuaTangMe Extaste",462.000₫,https://tiki.vn/vien-mem-bo-sung-dha-tinh-khiet-brauer-baby-kids-ultra-pure-dha-cho-tre-tu-7-thang-tuoi-60-vien-p270885579.html?spid=23390876,27,,Đã bán 42,dinhduongchobe
ColosBaby IQ Gold 1+ 800g,546.382₫,https://tiki.vn/colosbaby-iq-gold-1-800g-p96644921.html?spid=96644922,28,,Đã bán 2,dinhduongchobe
Sữa Nutricare Care 100 Gold cho trẻ biếng ăn suy dinh dưỡng 1-10 tuổi (900g),345.000₫,https://tiki.vn/sua-nutricare-care-100-gold-cho-tre-bieng-an-suy-dinh-duong-1-10-tuoi-900g-p4775257.html?spid=46247765,29,,Đã bán 21,dinhduongchobe
"Combo 4 Hộp Sữa Công Thức Hữu Cơ Miwako A+ Vị Vani 400g (1.6Kg) Nhập Khẩu Malaysia, Sữa Hạt Cho Bé Từ 1 - 6 Tuổi Giúp Phát Triển Trí Não Chiều Cao, Tặng Bánh Ăn Dặm Gerber",1.463.000₫,https://tiki.vn/tang-can-dien-tu-combo-4-hop-sua-cong-thuc-huu-co-miwako-a-vi-vani-700g-2-8kg-nhap-khau-malaysia-sua-hat-cho-be-tu-1-6-tuoi-giup-phat-trien-tri-nao-chieu-cao-p217539980.html?spid=252162352,30,,,dinhduongchobe
Hộp Viên Ngậm Ho Eucatana (100 Viên),51.000₫,https://tiki.vn/hop-vien-ngam-ho-eucatana-100-vien-p1341617.html?spid=273385138,31,,,dinhduongchobe
"Sữa cho trẻ sơ sinh 0-12 tháng tuổi Meiji Nhật giàu dưỡng chất kèm DHA giúp phát triển cân đối chiều cao, cân nặng, trí não cho bé - OZ Slim Store",1.280.000₫,https://tiki.vn/sua-cho-tre-so-sinh-0-12-thang-tuoi-meiji-nhat-giau-duong-chat-kem-dha-giup-phat-trien-can-doi-chieu-cao-can-nang-tri-nao-cho-be-oz-slim-store-p272322010.html?spid=272322012,32,,Đã bán 48,dinhduongchobe
Sữa Bột Cho Bé Từ 1- 3 Tuổi Nature One Dairy Toddler Nutritious Milk Drink Step 3 – Giúp Bổ Sung Dưỡng Chất Phát triển Toàn Diện Cho Bé - Hàng Nhập Khẩu Chính Hãng,480.000₫,https://tiki.vn/sua-bot-cho-be-tu-1-3-tuoi-nature-one-dairy-toddler-nutritious-milk-drink-step-3-giup-bo-sung-duong-chat-phat-trien-toan-dien-cho-be-hang-nhap-khau-chinh-hang-p202047536.html?spid=202047537,33,,Đã bán 2,dinhduongchobe
Combo 2 Sữa bột công thức Semper Nutradefense Baby 2 400g/hộp,632.610₫,https://tiki.vn/combo-2-sua-bo-t-cong-thu-c-semper-nutradefense-baby-2-400g-hop-p227731924.html?spid=227731933,34,,,dinhduongchobe
[DATE 1.2023] Combo 2 hộp bột Hismart số 1_Cho bé từ 0-6 tháng tuổi - xuất xứ 100% New Zeland - 400g,724.500₫,https://tiki.vn/date-1-2023-combo-2-hop-bot-hismart-so-1_cho-be-tu-0-6-thang-tuoi-xuat-xu-100-new-zeland-400g-p196158112.html?spid=196158113,35,,,dinhduongchobe
Sữa Sure 100 KIDS GOLD Hộp 900g,428.000₫,https://tiki.vn/sua-sure-100-kids-gold-hop-900g-p261988809.html?spid=261988810,36,,,dinhduongchobe
Cháo gạo Koshihikari vị cá trắng và rau ( 60g) dành cho bé từ 6 tháng,89.000₫,https://tiki.vn/chao-gao-koshihikari-vi-ca-trang-va-rau-60g-danh-cho-be-tu-6-thang-p71018298.html?spid=71018299,37,,Đã bán 2,dinhduongchobe
Sữa bột Colos Gain 1+ /Cho bé Tăng cân nhanh + Miễn dịch khoẻ,399.000₫,https://tiki.vn/sua-bot-colos-gain-1-cho-be-tang-can-nhanh-mien-dich-khoe-p188837385.html?spid=188837386,38,,Đã bán 3,dinhduongchobe
Sữa bột Morinaga số 1 dạng gói 130g,110.000₫,https://tiki.vn/sua-bot-morinaga-so-1-dang-goi-130g-p270806265.html?spid=270806266,39,,,dinhduongchobe
Thùng sữa nước ca cao lúa mạch Nutricare Care 100 Active giúp trẻ phát triển chiều cao (180ml),338.000₫,https://tiki.vn/thung-48h-x-180ml-sua-ca-cao-lua-mach-care-100-active-nang-luong-vuot-troi-cho-be-tu-3-tuoi-p112106913.html?spid=112106914,40,,Đã bán 39,dinhduongchobe
